snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MASR,4849593,"INVERSOR ON GRID 8,0KW EGT 8000 PRO G2",4.0,13074.0
2026-02-23,MASR,4301045,INVERSOR 220V/60HZ RENO4K-HC IN4KHCEXG,6.0,12865.56
2026-02-23,MASR,4841038,INVERSOR ON GRID 6KW EGT 6000 PRO,6.0,12093.54
2026-02-23,MASR,4301122,INVERSOR TRI 380V/60HZ G IN015KEXG,2.0,12053.1
2026-02-23,MASR,4301255,INVERSOR 220V RENO 4K PLUS IN04KRECG REM,4.0,10606.92
2026-02-23,MASR,4301263,INVERSOR RENO 15K HC IN15HRECG REM,2.0,10277.9
2026-02-23,MASR,4842776,MODULO FOTOV 144C EMST 340P HC G2,18.0,9771.3
2026-02-23,MASR,4600064,DISCO RIG 4TB WD40PURZ,29.0,9737.62
2026-02-23,MASR,4301259,INVERSOR RENO 40K IN40KRECG REM,1.0,8971.4
2026-02-23,MASR,4950058,"PAINEL LED 0,64X0,48M LED 5030 FI",8.0,8555.04
2026-02-23,MASR,4301157,INVERSOR 220V RENO4K-HC IN4KHCEXG REM,4.0,8191.0
2026-02-23,MASR,1870984,INVERSOR ON GRID 50KW IONS-50K T4 AFCI,1.0,7910.53
2026-02-23,MASR,4301137,INVERSOR TRIF 380V/60HZ G IN030KHCG,1.0,7793.56
2026-02-23,MASR,4841036,"INVERSOR ON GRID 4,6KW EGT 4600 PRO",4.0,7697.48
2026-02-23,MASR,1870912,INVERSOR ON GRID 10KW IONS-10K M7,2.0,7019.24
2026-02-23,MASR,4600063,DISCO RIG 3TB WD30PURZ,22.0,6928.9
2026-02-23,MASR,1870895,INVERSOR ON GRID 6KW IONS-6K M5,3.0,6653.64
2026-02-23,MASR,4301256,INVERSOR 220V RENO3KHC IN03HRECG REM,4.0,6626.88
2026-02-23,MASR,4301260,INVERSOR 380V RENO20KHCG IN20HRECG REM,1.0,6426.82
2026-02-23,MASR,1870911,INVERSOR ON GRID 8KW IONS-8K M7,2.0,5815.96
2026-02-23,MASR,4841046,INVERSOR ON GRID 15KW EGT 15000 MAX,1.0,5452.15
2026-02-23,MASR,4906067,INVERSOR ON GRID 20KW EGT 20000 MAX REM,1.0,5360.7
2026-02-23,MASR,4841039,INVERSOR ON GRID 8KW EGT 8000 PRO,1.0,5096.8
2026-02-23,MASR,4301132,INVERSOR MONO 220V/60HZ G IN005KHCG,2.0,4804.12
2026-02-23,MASR,4600134,DISCO RIG 14TB WD142PURP,3.0,4414.14
2026-02-23,MASR,4849596,INVERSOR ON GRID 12KW EGT 12000 MAX G2,1.0,4311.96
2026-02-23,MASR,4600180,DISCO RIG 6TB WD62PURZ,6.0,4207.86
2026-02-23,MASR,4841034,"INVERSOR ON GRID 3,6KW EGT 3600 PRO",2.0,3802.5
2026-02-23,MASR,4570048,CAMERA VID IP B VIP 5460 LPR IA,3.0,3729.93
2026-02-23,MASR,4900468,MONITOR P/VID WALL MWL 7255 REM,1.0,3585.71
2026-02-23,MASR,4900280,INVERSOR ON-G 10KW EGT 10000 PRO G2 REM,1.0,3571.9
2026-02-23,MASR,4849594,INVERSOR ON GRID 10KW EGT 10000 PRO G2,1.0,3554.83
2026-02-23,MASR,1950026,GRAVADOR DIG SVR 7116 IA,1.0,2981.53
2026-02-23,MASR,1950166,MONITOR P/VID WALL MWL 7249,1.0,2976.49
2026-02-23,MASR,4600084,DISCO RIG 8TB WD82PURZ,3.0,2871.24
